model,question_id,persona,frames_available,frame_consistency,all_frames_agree
google/gemini-2.5-flash-lite,PRPP01,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP01,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP01,P2,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP01,P3,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP01,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP01,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP02,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P4,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP02,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP03,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP03,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP03,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP03,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP03,P4,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP03,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP04,P0,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP04,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP04,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP04,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP04,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP04,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP05,P0,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP05,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP05,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP05,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP05,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP05,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP06,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP06,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP06,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP06,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP06,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP06,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP07,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP07,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP07,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP07,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP07,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP07,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP08,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP08,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP08,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP08,P3,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP08,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP08,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP09,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP09,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP09,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP09,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP09,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP09,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP10,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP10,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP10,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP10,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP10,P4,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP10,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP11,P0,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP11,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP11,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP11,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP11,P4,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP11,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP12,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP12,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP12,P2,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP12,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP12,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP12,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP13,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP13,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP13,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP13,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP13,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP13,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP14,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP14,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP14,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP14,P3,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP14,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP14,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP15,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP15,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP15,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP15,P3,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP15,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP15,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP16,P0,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP16,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP16,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP16,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP16,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP16,P5,3,1.0,True
google/gemini-2.5-flash-lite,PRPP17,P0,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP17,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP17,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP17,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP17,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP17,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP18,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP18,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP18,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP18,P3,3,1.0,True
