request_id,experiment_id,experiment_fingerprint,judge_fingerprint,judge_model,condition,profile_id,experiment_model,actual_persona,predicted_persona,confidence,other_profile_name,other_profile_description,other_profile_traits,a_rate_threshold,source_questions,bucket_questions,bucket_question_ids,input_tokens,output_tokens,cost,raw_http_log,status,error
6c3e470f46ad338ca1a4,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_only,dc044e03f07a4c3557c4,google/gemini-2.5-flash-lite,P0,OTHER,0.9,Indecisive,"A profile characterized by lack of clear preferences or strong inclinations, showing no decisive pattern across tasks or questions.","['Uncertain', 'Non-committal', 'Ambiguous', 'Inconsistent', 'Neutral']",0.5,2,0,[],414,69,0.000276,raw_http_log.jsonl,success,
de65f6e5ce764f0f49b7,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_and_explanation,dc044e03f07a4c3557c4,google/gemini-2.5-flash-lite,P0,OTHER,0.7,Indecisive,"A profile characterized by lack of strong preferences or clear choices, indicating uncertainty or ambivalence.","['Uncertain', 'Ambivalent', 'Non-committal', 'Inconsistent', 'Low engagement']",0.5,2,0,[],414,66,0.0002712,raw_http_log.jsonl,success,
782d67d332f3deb5f737,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_only,7623951bd3fb51a86cf8,google/gemini-2.5-flash-lite,P3,OTHER,0.9,Indecisive,"A profile characterized by lack of strong preferences or clear choices, indicating uncertainty or ambivalence.","['Uncertain', 'Non-committal', 'Ambivalent', 'Inconsistent', 'Neutral']",0.5,2,0,[],414,65,0.0002696,raw_http_log.jsonl,success,
8d70e1e898fb7cdf79ad,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_and_explanation,7623951bd3fb51a86cf8,google/gemini-2.5-flash-lite,P3,OTHER,0.7,Indecisive,"A profile characterized by lack of strong preferences or clear choices, indicating uncertainty or ambivalence.","['Uncertain', 'Ambivalent', 'Non-committal', 'Inconsistent', 'Low engagement']",0.5,2,0,[],414,66,0.0002712,raw_http_log.jsonl,success,
da1bde635dc4a1c3c896,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_only,9a2a21dcdae908fd7453,google/gemini-2.5-flash-lite,P5,OTHER,0.7,Empathetic Collaborator,A persona that prioritizes interpersonal support and emotional well-being over technical or competitive tasks.,"['empathetic', 'supportive', 'collaborative', 'people-oriented', 'conflict-averse']",0.5,2,1,['PRPP01'],489,66,0.0003012,raw_http_log.jsonl,success,
87f85b00ad80de8679af,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_only,d2849bf0fe118a7fd44f,qwen/qwen3-14b,P0,OTHER,0.9,Indecisive,"A profile characterized by lack of strong preferences or clear choices, indicating uncertainty or ambivalence.","['Uncertain', 'Ambivalent', 'Non-committal', 'Inconsistent', 'Low engagement']",0.5,2,0,[],414,66,0.0002712,raw_http_log.jsonl,success,
d015a616b70a7acb0883,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_and_explanation,d2849bf0fe118a7fd44f,qwen/qwen3-14b,P0,OTHER,0.7,Indecisive,"A profile characterized by lack of strong preferences or clear choices, indicating uncertainty or ambivalence.","['Uncertain', 'Non-committal', 'Ambivalent', 'Inconsistent', 'Neutral']",0.5,2,0,[],414,65,0.0002696,raw_http_log.jsonl,success,
950ac891ff09875db3ff,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_only,d404c5417957e7745e58,qwen/qwen3-14b,P3,OTHER,0.9,Indecisive,"A profile characterized by lack of clear preferences or strong inclinations, showing uncertainty or ambivalence across tasks.","['Uncertain', 'Ambivalent', 'Non-committal', 'Inconsistent', 'Low engagement']",0.5,2,0,[],414,69,0.000276,raw_http_log.jsonl,success,
b682bd80b40fc5b7a5f5,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_only,62912381095545dc4133,qwen/qwen3-14b,P4,OTHER,0.85,Empathetic Analyst,"A persona that combines analytical skills with a strong preference for interpersonal understanding and support, focusing on both data-driven insights and human-centered approaches.","['Empathetic', 'Analytical', 'Supportive', 'Detail-oriented', 'Interpersonal']",0.5,2,2,"['PRPP01', 'PRPP02']",572,73,0.0003456,raw_http_log.jsonl,success,
32567f90d90ccf68418f,five_personas_plus_assistant_v3,46107c1aa169863c827d9bf7775bde04b7880b2f7b034813bc9416595ac41c0f,0d02fa9009e6af7b5fabb996ec67b07f4ab97d1ab6281a89b275e8009579551b,openai/gpt-4.1-mini,choice_and_explanation,d404c5417957e7745e58,qwen/qwen3-14b,P3,OTHER,0.7,Indecisive,"A persona characterized by lack of strong preferences or clear choices, showing ambivalence or uncertainty across tasks.","['Ambivalent', 'Uncertain', 'Non-committal', 'Inconsistent', 'Neutral']",0.5,2,0,[],414,67,0.0002728,raw_http_log.jsonl,success,
